n_gliders,diameter,config,n_disk_points,min_depth,max_depth,w_rms,w_mean_bias,w_corr,w_est_std,w_model_std,w_est_mean,w_model_mean,w_norm_rms,w_n,w_est_mean_se,w_model_mean_se,w_mean_bias_se,w_n_eff,w_n_eff_model,w_n_eff_est,w_tau,w_std_ratio,w_frac_mean_bias,flux_corr_25,flux_std_ratio_25,flux_mean_bias_25,flux_js_25,adv_corr_25,adv_std_ratio_25,adv_mean_bias_25,adv_js_25,flux_corr_50,flux_std_ratio_50,flux_mean_bias_50,flux_js_50,adv_corr_50,adv_std_ratio_50,adv_mean_bias_50,adv_js_50,flux_corr_70,flux_std_ratio_70,flux_mean_bias_70,flux_js_70,adv_corr_70,adv_std_ratio_70,adv_mean_bias_70,adv_js_70
3,0.3,circle_n3_d0.3,44,8,80,2.5944346392509505e-05,6.59619425616971e-07,0.9456444013867533,7.974956321901885e-05,7.516498154126066e-05,3.832282689234089e-06,3.1726632636171185e-06,0.34516533977019276,23976,1.0663603403683811e-05,1.0632181727030338e-05,8.877917975616874e-07,648.0,41.37971924901236,45.93816190590194,1.0,1.0609935848283492,0.2079071653084753,0.9640433810958214,1.0024004054049487,-7.010392128897187e-07,0.17926743167104428,0.9735128165454923,0.9844738589259547,1.9638849710051635e-09,0.14845499556461877,0.9649488954727932,1.0116077156327163,-6.607534719876674e-07,0.16327283127063394,0.9683992861186365,1.0261376057707237,-6.454602306778912e-09,0.1475151092476973,0.9459792100329013,1.0497242882950752,2.0347059873060466e-08,0.20071179206714893,0.9377265094310251,1.0608963098583937,-1.2154560459376299e-08,0.17888308999887584
4,0.3,circle_n4_d0.3,44,8,80,1.2998392619826748e-05,-6.482440234592957e-08,0.9855013012489364,7.658773659055837e-05,7.516498154126066e-05,3.107838861271191e-06,3.1726632636171185e-06,0.17293149487027384,23976,1.0618138981791452e-05,1.0632181727030338e-05,4.446052680283588e-07,648.0,41.37971924901236,43.03466888808675,1.0,1.0189284294378054,-0.0204321722665342,0.9860180510990447,0.9849832366917434,-7.650417328550441e-07,0.15399648409700703,0.9921427377536832,1.0048581493883157,6.613365061802768e-10,0.1405502432652311,0.9855289097021271,0.9930417081413155,-8.20331906690529e-07,0.15798960132935005,0.991625091383437,1.016223748280033,-1.7761071861407016e-08,0.16000954710495224,0.9845809242632005,1.0162595171118676,-3.397446894549569e-07,0.17304431388859737,0.9810548217900289,1.017655434206838,-4.323249015712895e-08,0.1577772451457732
5,0.3,circle_n5_d0.3,44,8,80,8.226707984560755e-06,2.4864217982432833e-07,0.9941636261977085,7.609046064631081e-05,7.516498154126066e-05,3.4213054434414474e-06,3.1726632636171185e-06,0.10944867963607267,23976,1.0647863651032494e-05,1.0632181727030338e-05,2.8465074680047224e-07,648.0,41.37971924901236,42.256515689130346,1.0,1.012312636630425,0.07837017646204726,0.989753564867607,0.966343497540528,-7.889167707192464e-07,0.14223937978037282,0.9947604462288764,0.9823637228308358,8.941998832102446e-10,0.128233737148069,0.9919655340613192,0.9776871271970295,-8.466065222089088e-07,0.12427114858341705,0.9962316458514925,1.0115815554928342,-1.295518585888212e-08,0.1256385905883103,0.9936348320850857,1.0060587024489216,-3.62892648877523e-07,0.1497012550088,0.992319572364327,1.0109316299920994,-2.6991405052885386e-08,0.14234229818759797
6,0.3,circle_n6_d0.3,44,8,80,6.180537701091848e-06,1.370557898917154e-07,0.9966890471595629,7.582711525636351e-05,7.516498154126066e-05,3.3097190535088333e-06,3.1726632636171185e-06,0.08222629174330517,23976,1.0688156043134396e-05,1.0632181727030338e-05,2.115208228488916e-07,648.0,41.37971924901236,41.67446070911651,1.0,1.0088090717449238,0.043198971496098706,0.9928941336190441,0.9789140230847495,-7.750549111194211e-07,0.11557838756957275,0.9944785579731205,0.9682200722384181,8.001424144295155e-10,0.1270539553928135,0.9937463912529537,0.9798044396258507,-8.055350911722278e-07,0.10472831771702945,0.9972399727677511,1.0052111800901957,-1.4788107536096502e-08,0.14483857403097194,0.9951784544050307,1.0033685819044247,-2.533876590132772e-07,0.17107375314336234,0.9942250380688019,1.0040247030300269,-3.04792410438903e-08,0.15476263760619802
3,0.5,circle_n3_d0.5,112,8,80,2.8672936863997557e-05,-2.895146571578262e-07,0.9147413533928387,7.096053245169035e-05,6.472700664874368e-05,2.7619057489399477e-06,3.051420406097774e-06,0.44298258715404515,23976,8.723576300219412e-06,8.732399011604043e-06,1.2341845799978483e-06,422.9411113602799,45.037282553063434,53.856553235047926,1.5321281913594942,1.0963048675613003,-0.0948786527675038,0.9194511803066232,1.016926512656461,-1.3536331862838108e-06,0.18820294190681983,0.9425246891497472,0.9849038228214427,-1.1060371333674799e-09,0.13946191136555638,0.9110423730469187,1.0328081712955375,-1.1896114583569558e-06,0.17195936873661213,0.9382435381610299,1.0373224488482544,-3.6049399711814837e-08,0.193533293662565,0.9087661998488585,1.0769075329334052,-2.5036730670698024e-07,0.16777893390906723,0.8988632122617931,1.0782955700731696,-6.50521681903371e-08,0.1903737177704382
4,0.5,circle_n4_d0.5,112,8,80,1.5070801063303901e-05,-8.782113569352624e-08,0.9737994028986113,6.626501661837511e-05,6.472700664874368e-05,2.963599270404248e-06,3.051420406097774e-06,0.23283636682118095,23976,6.672841693776656e-06,8.732399011604043e-06,5.202463172088657e-07,648.0,45.037282553063434,80.58366991001415,1.0,1.023761487658124,-0.0287804117446517,0.9589056836112233,0.9427315808023019,-1.393660199622023e-06,0.16896130067685988,0.9574993301463416,0.8789797083782324,4.4183465661561766e-10,0.1560832238256778,0.9615514817830442,0.9653990747648405,-1.2607916854016697e-06,0.16482884002845832,0.9786072158403643,0.9893416436252482,-2.957793493198013e-08,0.16087272700472305,0.9694832461191333,1.001573861153945,-2.894278946180481e-07,0.16081597531646688,0.9687253995820362,0.9977724767721016,-5.702183492457973e-08,0.140163564491677
5,0.5,circle_n5_d0.5,112,8,80,9.975269648794625e-06,-2.0214196708490594e-07,0.9883374693812945,6.549286665413275e-05,6.472700664874368e-05,2.849278439012868e-06,3.051420406097774e-06,0.1541129455117208,23976,8.686052070965913e-06,8.732399011604043e-06,3.416120208228472e-07,648.0,45.037282553063434,46.48430782713987,1.0,1.0118321554640275,-0.06624520393222699,0.9792071194730003,0.946807525020813,-1.3226841523546107e-06,0.1624618640926957,0.9785408113240127,0.8759580074958073,-3.0529114996489016e-12,0.11311180082017987,0.9789514530103094,0.9648212086542642,-1.1557331868945715e-06,0.14531991385645118,0.9905031310226681,0.9797847659801892,-3.402764121846699e-08,0.18193374469684967,0.9842149153419057,1.0019436417747107,-3.067395248193024e-07,0.15796216994069393,0.9825874456927921,0.9914350964569856,-5.4323531849166084e-08,0.15315794058526586
6,0.5,circle_n6_d0.5,112,8,80,6.563524366443035e-06,-9.301537367642123e-08,0.9948749460156424,6.488266011087959e-05,6.472700664874368e-05,2.9584050324213544e-06,3.051420406097774e-06,0.10140318093282984,23976,8.686718841314345e-06,8.732399011604043e-06,2.2199624138249448e-07,648.0,45.037282553063434,45.699470931369774,1.0,1.0024047684296695,-0.030482647848374133,0.9816357775957821,0.9449545353304484,-1.3228037437563244e-06,0.17375102255248084,0.9784602051973889,0.8516721475021772,6.407105905490729e-10,0.1447179688543155,0.9843638265455182,0.9565835653126551,-1.1923030236571481e-06,0.1561923686550977,0.9928591889235268,0.9758698046574078,-3.0162251075885205e-08,0.17418032024941618,0.9902490845580759,0.9875151108556309,-3.8957172667565836e-07,0.14464263346387848,0.9878689693249859,0.9820753178832854,-5.069260546390492e-08,0.1342338692105097
3,0.75,circle_n3_d0.75,256,8,80,3.3462075700679116e-05,-9.166895460568461e-07,0.8525229593525654,6.397864749148517e-05,5.3787812317847155e-05,4.805852268586555e-06,5.722541814643399e-06,0.6221125987229671,23976,5.551349373219205e-06,5.449078218545874e-06,1.7346223549310674e-06,295.7662470797566,79.10568105941623,107.44598673318886,2.1909193709492474,1.189463648631358,-0.16018922635237567,0.8606607495084054,1.0426424618082712,-1.9121026713903944e-06,0.21007690988640823,0.8748376152946983,1.0736554302809764,-5.559455917896724e-09,0.17433511152874379,0.8361305934963268,1.1160461197403775,-1.4650631329442152e-06,0.17762482198740703,0.8986785080154998,1.0501567880690583,-4.918589330135027e-08,0.18487267295251614,0.8586329020701026,1.1819271999203524,-1.9073348593991768e-07,0.19204240674978487,0.813037559993608,1.1852540304923442,-7.26537130331896e-08,0.20459569710511533
4,0.75,circle_n4_d0.75,256,8,80,1.5911813935697766e-05,-3.848057601284844e-07,0.9587809990213713,5.598088396903732e-05,5.3787812317847155e-05,5.337736054514915e-06,5.722541814643399e-06,0.2958256387463842,23976,5.410118131207661e-06,5.449078218545874e-06,7.097288856757878e-07,387.07105780248975,79.10568105941623,86.43149419743405,1.6741112179217856,1.040772650098329,-0.06724385292280537,0.9160892971285434,0.9217104337898582,-1.8884580228051236e-06,0.2129450333453332,0.9329757039029878,0.9293038370672787,-1.802690308718765e-09,0.1440437320571121,0.9229043285144902,0.9568413014357128,-1.6330394012674415e-06,0.17215543538679295,0.9613559874794002,0.9618554876875632,-4.4705487134689616e-08,0.1502070605113024,0.9502800698421697,1.006031738852741,-8.636218136189428e-07,0.17343096860657142,0.9440589547766137,1.0042420188626344,-3.695664393515655e-08,0.17616580793649708
