config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,norm_rms,n
equator_2deg_w0.25,equator,equator_2deg,0.25,0.0,2,2,2.0,8,70,data/equator_2deg_w0.25__cell_+0.00.nc,2.6213623878482676e-05,3.8551070261479295e-07,0.7919437242444612,4.221516784455945e-05,3.818452883898023e-05,0.6864985551876918,20736
equator_2deg_w0.5,equator,equator_2deg,0.5,0.0,2,2,2.0,8,70,data/equator_2deg_w0.5__cell_+0.00.nc,2.047502203018094e-05,1.9679870240336182e-07,0.8367363869179631,3.5790624822608943e-05,3.586853702592327e-05,0.5708351588296736,20736
equator_2deg_w0.75,equator,equator_2deg,0.75,0.0,2,2,2.0,8,70,data/equator_2deg_w0.75__cell_+0.00.nc,1.890345230223081e-05,8.302477939505979e-07,0.8406261230186624,3.2392355373188604e-05,3.421926585889171e-05,0.5524213283879917,20736
equator_2deg_w1.0,equator,equator_2deg,1.0,0.0,2,2,2.0,8,70,data/equator_2deg_w1.0__cell_+0.00.nc,1.7330588612642366e-05,1.4669101654332559e-06,0.854780882041724,2.9785339747069986e-05,3.315665940526371e-05,0.5226880187420536,20736
equator_2deg_w1.5,equator,equator_2deg,1.5,0.0,2,2,2.0,8,70,data/equator_2deg_w1.5__cell_+0.00.nc,1.6804040997876457e-05,1.6141414362347076e-06,0.8378430476693082,2.5910685455390704e-05,3.063608088862229e-05,0.5485049167668568,20736
equator_2deg_w2.0,equator,equator_2deg,2.0,0.0,2,2,2.0,8,70,data/equator_2deg_w2.0__cell_+0.00.nc,1.8073916859251798e-05,2.0773299959953506e-06,0.7729502614399487,2.4344725934442146e-05,2.7970122454511857e-05,0.6461865474005566,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_-1.00.nc,3.375938702891659e-05,-2.560359270101907e-06,0.7731426626835579,5.2465613011844465e-05,4.565162027856649e-05,0.7395003030104208,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,0.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+0.00.nc,2.6213623878482673e-05,3.8551070261479025e-07,0.7919437242444614,4.221516784455944e-05,3.818452883898023e-05,0.6864985551876917,20736
equator_3cell_w0.25,equator,equator_3cell,0.25,1.0,2,6,2.0,8,70,data/equator_3cell_w0.25__cell_+1.00.nc,3.83801490345558e-05,-2.1877962874753437e-06,0.7624254773182673,5.347515319241906e-05,5.723037801267016e-05,0.6706254679299667,20736
equator_3cell_w0.5,equator,equator_3cell,0.5,-1.0,2,6,2.0,8,70,data/equator_3cell_w0.5__cell_-1.00.nc,2.4333297622495163e-05,-4.2705567229093125e-06,0.8467602939468156,4.2421498701659456e-05,4.3957939919565606e-05,0.5535586441725958,20736
