config,shape,diameter,depth,pair,js2d,js2d_null,js2d_null_p95,corr_obs,corr_true,cov_obs,cov_true,n_obs,n_true
symhex_d0.3_c+0.0,hexagon,0.3,25m,velocity U-V,0.4430179453396374,0.6317563876280761,0.7435224017221076,0.46065898753111667,0.46099436864553023,0.030564328247968738,0.030612066534687656,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,25m,Reynolds stress u'v',0.4394414767397328,0.6175627951206513,0.7380107866241473,0.46071927508154115,0.46101219279745315,0.030563742333778444,0.030611728312281282,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,25m,zonal heat flux u'T',0.4028179146419379,0.5824979391633931,0.6836340505902141,0.35111866331153874,0.3627940512625165,0.03222358487920904,0.033130338778209194,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,25m,merid. heat flux v'T',0.44043378171037884,0.6222421025024488,0.7312143230250722,-0.12714606820497124,-0.12494909320473627,-0.015080710916038697,-0.014789743803235061,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,25m,vertical heat flux w'T',0.4497076159583759,0.6389717912270011,0.7172052201286763,0.09871104826502491,0.03250166025236302,2.5489057111214996e-06,8.77613516261264e-07,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,25m,T-S,0.3612693891947172,0.5058997876752873,0.6397074954210754,0.0503755066113083,0.05564110948124214,0.002520197230889668,0.002773854447183393,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,50m,velocity U-V,0.4470338384108539,0.6603218060508496,0.7392589955803381,0.3833149571812305,0.38588325891234243,0.021876356319061607,0.021824317027010993,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,50m,Reynolds stress u'v',0.4510207208833337,0.6702836801069206,0.749596640833361,0.38364588772362196,0.38597421311671193,0.021888504915988833,0.021827580406574468,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,50m,zonal heat flux u'T',0.42848824082964226,0.5983674782578999,0.7099854690514993,0.4204183577580409,0.4488272896138794,0.03459032190753151,0.03632996062940549,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,50m,merid. heat flux v'T',0.46118103141891675,0.6186122926406998,0.7344182310000134,-0.04762923096990609,-0.043592575715309785,-0.005330563311331843,-0.004882533706704882,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,50m,vertical heat flux w'T',0.46265516531033535,0.6491732109464651,0.7309660224930957,0.09241449129690461,0.03817311585653339,3.7989140233896596e-06,1.6409583781011324e-06,1296,10368
symhex_d0.3_c+0.0,hexagon,0.3,50m,T-S,0.3865767358990453,0.5503925546953341,0.6609274824729522,0.2937783394298702,0.30189544577768346,0.012785507135345478,0.0131107314383159,1296,10368
