config,shape,diameter,depth,field,js,js_null,js_null_p95,wasserstein,w_null,w_null_p95,obs_mean,true_mean,obs_std,true_std,obs_skew,true_skew,n_obs,n_true
symhex_d0.3_c+0.0,hexagon,0.3,25m,T,0.0772713004318173,0.19412203763071964,0.25265106890710526,0.005037122085035819,0.02013643705424494,0.030117587142237126,25.69163564938978,25.689037151491558,0.40499261232111605,0.4039919317143119,-0.9156866982565116,-0.9831979207954429,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,25m,S,0.07277303540912113,0.16509104059387528,0.2276864872853691,0.0008486057539767965,0.004268606421294806,0.010538049135191001,35.129616957441804,35.129754066231186,0.12321256493794135,0.12342487260784017,-0.13240476894093553,-0.13626431858869154,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,25m,U,0.08341996288361933,0.17226080975919708,0.2448217555022562,0.002432927533152824,0.005459317170126177,0.007507634489414511,-0.11256263500893882,-0.11174277344044235,0.22647231276669136,0.22638551542896124,0.05290639006397648,0.054744071675040085,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,25m,V,0.07542736135518456,0.18896296209878882,0.23151938715475875,0.002612699380839576,0.007068084374903878,0.010019035081318267,-0.015962774399552675,-0.015966500021335695,0.29296099921642554,0.2933486979751566,0.011952319985945828,0.01323074142496606,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,25m,W,0.10943799755899157,0.1988678620511672,0.2587926232204302,4.281213341927618e-06,4.742969944795851e-06,7.1305571673509775e-06,-4.314117646328319e-07,6.184558302596902e-07,6.054361702877875e-05,6.669752328835231e-05,-0.8326663036316758,-0.6742863682599098,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,25m,sigma0,0.07962002596448467,0.17790457405424898,0.23868809161890872,0.0021210326107864706,0.007215115340761159,0.015774841473772595,23.228088853849872,23.22900070084446,0.151778785202212,0.15139014696236222,-0.02285147760235448,0.03158441922530634,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,50m,T,0.0887190262679414,0.18359574674061235,0.25268269929552356,0.004489348736086787,0.014099366388317866,0.022715855848909634,25.5806716777308,25.579057581998683,0.4012721749045053,0.4006039782191579,-0.7780958251265976,-0.8080090555404408,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,50m,S,0.07519467114921771,0.16105095851354465,0.22005246872862486,0.0008449409040329486,0.005188352746629442,0.009343194600307575,35.14285596475376,35.14280370449779,0.1081928250768084,0.10843198908781605,0.09427500005130432,0.09430825754385641,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,50m,U,0.08063494027783737,0.18179070495822397,0.23273736889820953,0.002386516571420609,0.006725738338784759,0.012949579821258685,-0.01201525869822387,-0.011634358853374075,0.20375064511761937,0.20222908827162395,0.18300882449575034,0.16368953310804396,1296,9504
symhex_d0.3_c+0.0,hexagon,0.3,50m,V,0.08847716210796278,0.17011842387659012,0.24941904207329657,0.002690690200634189,0.005740752237894841,0.00830454822985931,-0.018276905835570872,-0.01845357185342491,0.2788963397886412,0.27971786135691185,0.008500277257133601,0.012217872024639117,1296,9504
