config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,mean_true_25,mean_est_25,mean_bias_25,std_true_25,std_est_25,std_ratio_25,corr_25,js_25,ks_25,adv_mean_true_25,adv_mean_est_25,adv_mean_bias_25,adv_std_true_25,adv_std_est_25,adv_std_ratio_25,adv_corr_25,adv_js_25,adv_ks_25,mean_true_50,mean_est_50,mean_bias_50,std_true_50,std_est_50,std_ratio_50,corr_50,js_50,ks_50,adv_mean_true_50,adv_mean_est_50,adv_mean_bias_50,adv_std_true_50,adv_std_est_50,adv_std_ratio_50,adv_corr_50,adv_js_50,adv_ks_50,mean_true_70,mean_est_70,mean_bias_70,std_true_70,std_est_70,std_ratio_70,corr_70,js_70,ks_70,adv_mean_true_70,adv_mean_est_70,adv_mean_bias_70,adv_std_true_70,adv_std_est_70,adv_std_ratio_70,adv_corr_70,adv_js_70,adv_ks_70
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,80,data_heat/equator_1deg_w0.25__cell_+0.00.nc,2.688928134375601e-06,2.7304378515057637e-06,4.150998391675652e-08,1.5957477444317192e-05,1.4613422347029302e-05,0.9157727089398746,0.867386679629538,0.21445216750917462,0.08950617283950617,-2.3179711483578558e-09,1.5037450655670637e-08,1.735542256211604e-08,1.7006981067879678e-07,1.265295436967663e-07,0.7439859149119473,0.8241404011404349,0.16017581772883083,0.07561728395061729,3.0380094813153846e-06,2.1164657144800753e-06,-9.215443896251938e-07,2.4622519049444236e-05,2.3483834121500934e-05,0.953754328480497,0.8832491821821327,0.21256292731115814,0.06944444444444445,1.6964918359008152e-07,2.6762575787315797e-07,9.797651833113429e-08,1.2501309356593993e-06,1.1660130657062832e-06,0.9327127522776268,0.8975442848642095,0.1665767764951116,0.037037037037037035,-2.5883207399601815e-07,-3.4053516915647052e-06,-3.1465206015881373e-06,4.0220511436928064e-05,3.785837862352599e-05,0.9412704431392857,0.9057132381781563,0.20497850768203357,0.07253086419753087,3.798577949964965e-07,5.566063109925207e-07,1.7674844287139036e-07,2.5069307412195485e-06,2.443883418756382e-06,0.9748507920755338,0.8996840272809559,0.22678425984052875,0.05864197530864197
equator_1deg_w0.5,equator,equator_1deg,0.5,0.0,2,2,1.0,8,80,data_heat/equator_1deg_w0.5__cell_+0.00.nc,2.859387450371287e-06,1.8723824278455106e-06,-9.870042070580556e-07,1.3063896403764375e-05,1.0832881345404727e-05,0.8292228452059083,0.8546102364391112,0.23715881989041954,0.12345679012345678,-1.9051966670957654e-09,1.2141614563723718e-08,1.4046814267463632e-08,1.4869786468807433e-07,1.1755456345627179e-07,0.7905598624625021,0.8796400137456201,0.16119405621042096,0.0941358024691358,3.0879391488269903e-06,1.2085485570360694e-06,-1.8793891303591222e-06,2.0283407138776965e-05,1.7249212327982016e-05,0.8504100031106557,0.8596766020726009,0.1703235118712387,0.08796296296296297,1.6120947066156077e-07,2.2994631575289423e-07,6.873691929651818e-08,1.1616015171966865e-06,1.0327821072372248e-06,0.8891018924714011,0.9182970433494436,0.19369846170843136,0.043209876543209874,-5.178411583983689e-07,-3.0268930405724303e-06,-2.5090494519808412e-06,3.708285657921806e-05,3.2862847837723054e-05,0.8862005484264667,0.9188610634454266,0.17902293383460663,0.09259259259259259,3.6269616998652054e-07,4.807028876154279e-07,1.1800663379541834e-07,2.3801021598046646e-06,2.1341128784067172e-06,0.8966475954048394,0.9221660815871161,0.18193467396517757,0.06172839506172839
equator_1deg_w0.75,equator,equator_1deg,0.75,0.0,2,2,1.0,8,80,data_heat/equator_1deg_w0.75__cell_+0.00.nc,2.9979478313180152e-06,1.6287667239661237e-06,-1.3691802250896924e-06,1.1781997272919398e-05,9.809308525247083e-06,0.8325675433479783,0.8487735045560827,0.24309997558390553,0.14969135802469136,-3.421161687278129e-10,1.0444369546014116e-08,1.0786487208997397e-08,1.3788174157980393e-07,1.2530900852033623e-07,0.9088150982471397,0.9165896805567613,0.1516694235070398,0.13271604938271606,3.168839157297043e-06,1.4793883563960473e-06,-1.6894519071094e-06,1.8437935068504885e-05,1.6354940195884153e-05,0.8870266727330632,0.8361263127264733,0.21309907085836355,0.11419753086419752,1.590633758041804e-07,1.840323012721628e-07,2.4968943715699237e-08,1.082877588487463e-06,9.292675049007136e-07,0.8581464006459786,0.9364136803068844,0.1568680791516067,0.037037037037037035,-3.8357123344212596e-07,-1.417528207572909e-06,-1.0339567716165104e-06,3.47542627423536e-05,3.16458693323018e-05,0.9105608013297394,0.9137591534260393,0.18250607272726038,0.0787037037037037,3.7238714867271483e-07,4.790152222980373e-07,1.0662780773847298e-07,2.252432068416965e-06,1.9879937682710807e-06,0.8825987678590748,0.9264732540976532,0.20873357273630352,0.04938271604938271
equator_2deg_w0.25,equator,equator_2deg,0.25,0.0,2,2,2.0,8,80,data_heat/equator_2deg_w0.25__cell_+0.00.nc,4.348486982053146e-06,3.12889762199759e-06,-1.219589010039927e-06,1.336512741545448e-05,1.4502908919196116e-05,1.0851306140505617,0.7884951450104051,0.27505795064409155,0.16666666666666666,7.075699581804429e-09,1.8099643821278012e-08,1.1023941088622793e-08,1.0863602284416629e-07,1.0817616511291582e-07,0.995766986684425,0.5563881199144435,0.16738537718572927,0.06481481481481481,4.378626726975199e-06,2.663723968809501e-06,-1.7149010876184265e-06,2.104904160660226e-05,2.4519781851271243e-05,1.1648882789789512,0.8084091917904833,0.22492440835242627,0.10030864197530864,2.575550013261818e-07,2.9018538026189756e-07,3.26304708880103e-08,9.934419722412713e-07,9.00048676088238e-07,0.9059901848697496,0.7761568508621395,0.2001952219723774,0.10030864197530864,-2.898781872318068e-07,-6.084770680094084e-06,-5.794892581260706e-06,2.9796274247928523e-05,3.495476569971019e-05,1.1731253850350198,0.7536698049456192,0.24904572546811846,0.1419753086419753,4.227647139032342e-07,8.474508659985195e-07,4.246861704396643e-07,2.0198326637910213e-06,2.652181678904751e-06,1.313070001515311,0.7494619673852407,0.2349831500956628,0.09567901234567901
equator_2deg_w0.5,equator,equator_2deg,0.5,0.0,2,2,2.0,8,80,data_heat/equator_2deg_w0.5__cell_+0.00.nc,4.019662810605951e-06,2.2935676911844263e-06,-1.7260943757160155e-06,1.1183638889633585e-05,1.070508436814204e-05,0.9572094086536422,0.7739571617451397,0.3073009280468994,0.18364197530864199,7.57417328856036e-09,1.6300656580767973e-08,8.72648202249712e-09,9.726906569085259e-08,9.22480770299333e-08,0.9483804164740582,0.6106603369761511,0.18132793502064623,0.06944444444444445,3.6687142710434273e-06,1.524278581111203e-06,-2.144434761994112e-06,1.7833972378866747e-05,1.7851326991295256e-05,1.0009731209659758,0.7867557304518596,0.23003851332423653,0.13580246913580246,2.568010586401215e-07,2.647867483517486e-07,7.985827905106703e-09,9.360509807265771e-07,7.977023434485277e-07,0.8521996770190219,0.7812269979570103,0.21517280928271643,0.11882716049382716,-8.701605906935583e-07,-5.945579797525656e-06,-5.075419266257812e-06,2.7555517590371892e-05,2.9255623145455972e-05,1.0616974640199868,0.7805808724241479,0.23256266766901312,0.13580246913580246,4.301184048927098e-07,7.554416279990375e-07,3.25323194434476e-07,1.9526007690728875e-06,2.3085069892732374e-06,1.1822729079274805,0.7677170841464273,0.25773304732909896,0.0787037037037037
equator_2deg_w0.75,equator,equator_2deg,0.75,0.0,2,2,2.0,8,80,data_heat/equator_2deg_w0.75__cell_+0.00.nc,4.217227797198575e-06,2.0450837428026554e-06,-2.1721432144477808e-06,1.0629569260345306e-05,9.114619575882135e-06,0.8574777916810942,0.7769366734246794,0.2767297049157088,0.1867283950617284,8.28599056035273e-09,1.6261953367497548e-08,7.97596602421095e-09,9.13786095679825e-08,9.176477148284399e-08,1.0042259552502186,0.6759279120751224,0.15762017913202903,0.09259259259259259,3.876632945321035e-06,1.6400168298626939e-06,-2.236616900188645e-06,1.707500450720545e-05,1.567763460639294e-05,0.9181628385384709,0.7842932603975925,0.22699985168223652,0.1404320987654321,2.5302563244622434e-07,2.1640418732341174e-07,-3.662144264917718e-08,8.800457749202906e-07,6.78565924427132e-07,0.7710575333295505,0.7849058008710655,0.18188758081579853,0.12345679012345678,-6.316720373433782e-07,-4.2980644708828985e-06,-3.666392574606377e-06,2.62419071077602e-05,2.6978842262602424e-05,1.0280823780000463,0.7799884073792013,0.228809771715471,0.12654320987654322,4.3014517814299325e-07,7.247638512076285e-07,2.9461875389268374e-07,1.8804878436640138e-06,2.1045768811617384e-06,1.119165374162218,0.7740004459796594,0.27292058386311113,0.07561728395061729
equator_hex1deg_w0.25,equator,equator_hex1deg,0.25,0.0,6,6,1.0,8,80,data_heat/equator_hex1deg_w0.25__cell_+0.00.nc,3.431700861256104e-06,1.2334611534277317e-06,-2.1982399206135796e-06,1.4728589121659752e-05,1.189693869286107e-05,0.8077446247288902,0.9429345954866788,0.20430653541625465,0.10030864197530864,5.311290851572892e-10,4.713989467811518e-10,-5.9731971946058e-11,1.479838260820543e-07,1.1178081225976178e-07,0.7553583065069651,0.9394376275617629,0.19165329625109873,0.05709876543209876,3.806486802204745e-06,1.5896527706567e-06,-2.2168337059993857e-06,2.2451884433394298e-05,1.809774557945287e-05,0.8060679999107243,0.9269163780497665,0.16996169531442035,0.07098765432098765,1.9649331761684152e-07,1.575746890132527e-07,-3.891865451590304e-08,1.159465455202735e-06,1.0592432309765094e-06,0.913561698818615,0.974556936958021,0.16308466351829604,0.06944444444444445,1.3098957651891396e-07,-1.3932860451741863e-06,-1.5242756481904222e-06,3.715963612194173e-05,3.3063520768389754e-05,0.8897697668483536,0.9550633219380932,0.19146284036948896,0.038580246913580245,3.8627356957476877e-07,4.05355941962297e-07,1.9082256668365876e-08,2.349938085899339e-06,2.22119084868922e-06,0.9452124981578625,0.9529316312672474,0.19169903820246895,0.046296296296296294
equator_hex1deg_w0.5,equator,equator_hex1deg,0.5,0.0,6,6,1.0,8,80,data_heat/equator_hex1deg_w0.5__cell_+0.00.nc,3.1706952086096862e-06,1.0802801428369548e-06,-2.090414581869004e-06,1.1934344911423977e-05,9.680590454358527e-06,0.811153902975598,0.9365872671278374,0.22134547919187358,0.14660493827160495,1.2263299264958505e-09,1.3439207168844868e-09,1.175904244851269e-10,1.2816173011742649e-07,1.0171804476898025e-07,0.7936694103285157,0.9485392005491156,0.13870157716668458,0.06790123456790123,3.140265562251443e-06,1.2375171573553514e-06,-1.9027478952160046e-06,1.8255381291965023e-05,1.582208515600107e-05,0.8667080080636306,0.9209706188419005,0.2042137737503566,0.08179012345679013,1.9078649415860127e-07,1.3434372940099246e-07,-5.6442724224702584e-08,1.0693421472751652e-06,9.384234523494074e-07,0.8775708081278222,0.9761926880463023,0.1609087720853781,0.09567901234567901,-4.5354101985140005e-07,-1.517436883069417e-06,-1.0638955503928073e-06,3.3671367418719456e-05,2.9849948627772077e-05,0.886508357577932,0.9615634998119826,0.1767965838687092,0.05092592592592592,3.9967719089872844e-07,4.0295111601248655e-07,3.2738326787820634e-09,2.2163105768413516e-06,2.0125519983836044e-06,0.9080640680115598,0.9585132726861071,0.17805204583839274,0.05709876543209876
equator_hex1deg_w0.75,equator,equator_hex1deg,0.75,0.0,6,6,1.0,8,80,data_heat/equator_hex1deg_w0.75__cell_+0.00.nc,3.4260813208675245e-06,1.1158173028760123e-06,-2.3102635218712253e-06,1.0899733752012253e-05,8.760021156390756e-06,0.8036912970258128,0.9187422302857042,0.24802866768307222,0.16358024691358025,2.6566036037678487e-09,1.2207989349675618e-09,-1.43580656231521e-09,1.212287941143586e-07,9.569704944018283e-08,0.7893920758620189,0.9440178886306398,0.12951176567497188,0.07716049382716049,3.4747408790281042e-06,1.4192991304363864e-06,-2.0554385776083525e-06,1.7258062143810093e-05,1.528898827476908e-05,0.8859041152689756,0.9081437439243312,0.18405583994088057,0.10802469135802469,1.873270178975872e-07,1.1494235843287553e-07,-7.238459775608952e-08,9.8014970717486e-07,8.251869329082816e-07,0.8418988720475812,0.973425629164242,0.1907141074007761,0.09259259259259259,3.813165605492941e-08,-6.179113448713647e-07,-6.560417493458345e-07,3.1842089811107144e-05,2.8467382035066302e-05,0.8940173903138833,0.9591656494256247,0.19624239494408685,0.046296296296296294,4.065325072133419e-07,3.590000674315819e-07,-4.753230174677209e-08,2.088884457407403e-06,1.8089351237025389e-06,0.8659814176355546,0.9591033062493852,0.17262523498220253,0.041666666666666664
equator_hex2deg_w0.25,equator,equator_hex2deg,0.25,0.0,4,4,2.0,8,80,data_heat/equator_hex2deg_w0.25__cell_+0.00.nc,4.56018460681662e-06,1.8876854100547935e-06,-2.6724992976331293e-06,1.2080719898222014e-05,8.594104906557729e-06,0.711390130634729,0.7947175148047799,0.2695478208201135,0.18364197530864199,1.0224223245813846e-08,5.160270885570441e-09,-5.063954778049052e-09,9.410654655539474e-08,4.7114342791380054e-08,0.5006489401207251,0.8007254155827869,0.1892269238712915,0.09104938271604938,4.243162948114332e-06,2.810475578291558e-06,-1.4326852895238786e-06,1.9547163901734166e-05,1.515294653524902e-05,0.7751992366475576,0.7676024018050236,0.29200345659873567,0.11728395061728394,2.8969304821657715e-07,1.3786937619457733e-07,-1.5182354679909034e-07,9.455024496674014e-07,5.24527861871786e-07,0.5547609760887439,0.8395690837672053,0.211353422130226,0.15432098765432098,-6.433076009670913e-07,4.93315158890004e-07,1.1366227238611968e-06,2.7195606890018098e-05,2.375246971486987e-05,0.8733936260708343,0.7721904998610442,0.2600774130060648,0.08333333333333333,4.467975145416858e-07,3.938351883320675e-07,-5.296227043084833e-08,1.950558726093732e-06,1.7299230228253557e-06,0.8868858956580968,0.8253203787295048,0.1974340873515167,0.08179012345679013
