config,family,pattern,width,center_lat,n_gliders_cell,n_gliders_total,cell_height_deg,min_depth,max_depth,nc_path,rms,mean_bias,corr,w_est_std,w_model_std,w_est_mean,w_model_mean,norm_rms,n,w_est_mean_se,w_model_mean_se,mean_bias_se,n_eff,n_eff_model,n_eff_est,tau
density_2g_w0.25,density,density_2g,0.25,0.5,2,2,1.0,8,70,data/density_2g_w0.25__cell_+0.50.nc,2.8886764659259974e-05,-1.2991228272613182e-06,0.8851902802141531,5.2049802351771695e-05,6.177070108813552e-05,-2.3767383405223697e-06,-1.0776155132610514e-06,0.4676450833550332,20736,7.737103556652417e-06,9.892733806534497e-06,3.052024004941879e-06,71.64987129769345,32.90199032448921,34.2369865517195,9.04397995786575
density_2g_w0.5,density,density_2g,0.5,0.5,2,2,1.0,8,70,data/density_2g_w0.5__cell_+0.50.nc,2.5089151879257214e-05,-8.40022891919167e-07,0.8966110690423224,4.4241765573028446e-05,5.531850567287024e-05,-1.4815538146203859e-06,-6.415309227012172e-07,0.45353994244934287,20736,7.720838635493009e-06,9.759049920347853e-06,2.882326163517766e-06,62.71551905046001,26.968525760552527,24.69126626176114,10.33237083597488
density_2g_w0.75,density,density_2g,0.75,0.5,2,2,1.0,8,70,data/density_2g_w0.75__cell_+0.50.nc,2.329142719912731e-05,9.418023730615312e-09,0.9029799081214699,4.072338492210055e-05,5.214463617715787e-05,-9.120636335494897e-07,-9.214816572801034e-07,0.4466696655049287,20736,7.66523870318461e-06,9.647040459009225e-06,3.0934265247796476e-06,48.224118453444895,24.460698737162332,21.01923142150267,13.437259628199799
density_2g_w1.0,density,density_2g,1.0,0.5,2,2,1.0,8,70,data/density_2g_w1.0__cell_+0.50.nc,2.501409130670433e-05,1.2444515981560276e-06,0.8714842707006735,3.978411131427869e-05,5.027489952563385e-05,9.091166288784e-07,-3.3533496927762775e-07,0.4975463211806182,20736,7.606284091983133e-06,9.560590947921887e-06,3.455931708327579e-06,43.5967504492399,23.13201357036035,20.208776571858937,14.86349311181971
density_2g_w1.5,density,density_2g,1.5,0.5,2,2,1.0,8,70,data/density_2g_w1.5__cell_+0.50.nc,2.802397591138257e-05,3.2199704467967482e-06,0.8187565613821164,3.9937188880825796e-05,4.848521563206029e-05,3.876556876173768e-06,6.565864293770191e-07,0.5779901263933337,20736,7.758330570993816e-06,9.668205947330507e-06,4.470116167938344e-06,31.145093550114172,21.060609245276616,19.440586858128853,20.80584535594129
density_2g_w2.0,density,density_2g,2.0,0.5,2,2,1.0,8,70,data/density_2g_w2.0__cell_+0.50.nc,3.0496282088965882e-05,3.2929790718164983e-06,0.7583789670034654,4.1072449439183016e-05,4.53773722555311e-05,4.118257650203204e-06,8.252785783867064e-07,0.6720592351014476,20736,8.296292762404324e-06,9.10953079590999e-06,5.333639818182434e-06,25.12675296436703,20.742766148056155,17.952078484118537,25.789245467528076
density_4g_w0.25,density,density_4g,0.25,0.5,4,4,1.0,8,70,data/density_4g_w0.25__cell_+0.50.nc,2.0357362021548605e-05,1.2753027635014063e-06,0.9432694772552224,4.6435575673946696e-05,5.7033176592946254e-05,-4.2420036815588197e-07,-1.6995031316572893e-06,0.3569389474277742,20736,7.5727291196908526e-06,9.896143026740304e-06,2.5669573098812673e-06,54.567453583026804,28.008404096846167,28.59441037341106,11.875210541280605
density_4g_w0.5,density,density_4g,0.5,0.5,4,4,1.0,8,70,data/density_4g_w0.5__cell_+0.50.nc,1.4587093508731853e-05,5.200431930424059e-07,0.97493255816548,4.1824694854431404e-05,5.199725790289667e-05,-8.414554797073266e-07,-1.3614986727497316e-06,0.2805358224076511,20736,7.4951628642597924e-06,9.681060253714588e-06,2.272613668390042e-06,37.266947035996715,24.23195431388561,23.65890298893718,17.388062386062558
density_4g_w0.75,density,density_4g,0.75,0.5,4,4,1.0,8,70,data/density_4g_w0.75__cell_+0.50.nc,1.403361274652014e-05,4.411249526615713e-07,0.9745691688753992,3.9288660091090024e-05,4.920903975762737e-05,-7.498428309849268e-07,-1.190967783646496e-06,0.2851836332438277,20736,7.310028735315916e-06,9.523473605724334e-06,2.301398096186449e-06,33.86770494752774,22.356852619368045,21.83725607961462,19.133271681797332
density_4g_w1.0,density,density_4g,1.0,0.5,4,4,1.0,8,70,data/density_4g_w1.0__cell_+0.50.nc,1.3660086607050519e-05,-2.853663872984235e-07,0.96997868374921,3.8201302795864644e-05,4.706490480904829e-05,-5.886251601221747e-07,-3.0325877282375116e-07,0.2902393335856561,20736,7.046426316915417e-06,9.242606045463187e-06,2.3728341829101023e-06,29.777046406406075,21.67618669506448,22.083731876381112,21.761728519205743
density_4g_w1.5,density,density_4g,1.5,0.5,4,4,1.0,8,70,data/density_4g_w1.5__cell_+0.50.nc,1.572795704444704e-05,-1.7884407512762824e-08,0.9432038688723885,3.5053789211691785e-05,4.363422340638566e-05,8.848905401560085e-07,9.02774947668772e-07,0.36045002790505326,20736,6.458618405532484e-06,8.623258983196652e-06,2.507861778574279e-06,33.75946829792057,21.385044398362975,21.88634826106673,19.19461510120744
density_4g_w2.0,density,density_4g,2.0,0.5,4,4,1.0,8,70,data/density_4g_w2.0__cell_+0.50.nc,1.865553710806413e-05,1.8987700550370978e-06,0.8898875018573564,3.178649458009352e-05,3.9869286669582645e-05,3.1341127285219156e-06,1.2353426734848173e-06,0.4679175040845901,20736,5.3321954181814875e-06,7.840863628415245e-06,3.1990893624626297e-06,27.60328035253542,21.527949093812836,26.04117996382743,23.475470731161842
density_6g_w0.25,density,density_6g,0.25,0.5,6,6,1.0,8,70,data/density_6g_w0.25__cell_+0.50.nc,1.6305894536877766e-05,8.067407971233229e-07,0.9711587065504821,4.6426784810438614e-05,5.7033176592946254e-05,-8.927623345339667e-07,-1.6995031316572893e-06,0.28590191728676123,20736,7.5685232707751075e-06,9.896143026740304e-06,2.461102243125299e-06,39.64917565714204,28.008404096846167,28.672911689009144,16.34334104707358
density_6g_w0.5,density,density_6g,0.5,0.5,6,6,1.0,8,70,data/density_6g_w0.5__cell_+0.50.nc,1.3417282293614012e-05,4.927458949002767e-07,0.9809700683897068,4.218410543194936e-05,5.199725790289667e-05,-8.687527778494538e-07,-1.3614986727497316e-06,0.25803826653071565,20736,7.5528006889680095e-06,9.681060253714588e-06,2.2321894398450406e-06,33.10503047869843,24.23195431388561,23.69277850451251,19.57406444367898
density_6g_w0.75,density,density_6g,0.75,0.5,6,6,1.0,8,70,data/density_6g_w0.75__cell_+0.50.nc,1.3366901765495684e-05,3.8723077732256536e-07,0.9772469447041432,3.9747720179985936e-05,4.920903975762737e-05,-8.0373700632393e-07,-1.190967783646496e-06,0.27163508638519657,20736,7.441644096239413e-06,9.523473605724334e-06,2.2065786962156304e-06,33.450731174936266,22.356852619368045,21.527234464881225,19.371773866800527
density_6g_w1.0,density,density_6g,1.0,0.5,6,6,1.0,8,70,data/density_6g_w1.0__cell_+0.50.nc,1.3346326950711617e-05,-1.6995246222797682e-07,0.9707530243905353,3.858768963374439e-05,4.706490480904829e-05,-4.732112350517283e-07,-3.0325877282375116e-07,0.2835728023855637,20736,7.20532815558734e-06,9.242606045463187e-06,2.180854243737448e-06,33.547344485073566,21.67618669506448,21.526360573629702,19.315984914642613
density_6g_w1.5,density,density_6g,1.5,0.5,6,6,1.0,8,70,data/density_6g_w1.5__cell_+0.50.nc,1.5320057533765193e-05,4.0695264540117263e-07,0.9451794171175621,3.562882203177182e-05,4.363422340638566e-05,1.309727593069944e-06,9.02774947668772e-07,0.35110187228686135,20736,6.564684796426601e-06,8.623258983196652e-06,2.3583672952831858e-06,35.91089778166384,21.385044398362975,21.881295505816443,18.044661649502668
density_6g_w2.0,density,density_6g,2.0,0.5,6,6,1.0,8,70,data/density_6g_w2.0__cell_+0.50.nc,1.860503878130834e-05,2.1467152087690884e-06,0.8908408926186138,3.184977855179625e-05,3.9869286669582645e-05,3.382057882253906e-06,1.2353426734848173e-06,0.46665090688724625,20736,5.328920522219027e-06,7.840863628415245e-06,3.1020883292849773e-06,28.998821165473256,21.527949093812836,26.178528138159333,22.345735928449585
equator_1deg_w0.25,equator,equator_1deg,0.25,0.0,2,2,1.0,8,70,data/equator_1deg_w0.25__cell_+0.00.nc,2.6972284274658912e-05,-9.101364804388498e-08,0.8481848962630877,4.049908668926196e-05,5.069976072700621e-05,3.6644469792694025e-06,3.7554606273132873e-06,0.5320002281646193,20736,5.180177613234835e-06,5.23111644524073e-06,3.617981295585698e-06,47.097886952299966,78.28044768205878,45.35980034241433,13.75857903468758
